,source,text,date,retweet_count,favorite_count,id_str,time
15332,Twitter for iPhone,GREAT GDP numbers just released. Will be having a news conference soon!,2018-07-27,14798,79239,1022833271040815104,13:17:09.000000
15350,Twitter for iPhone,"The biggest and best results coming out of the good GDP report was that the quarterly Trade Deficit has been reduced by $52 Billion and, of course, the historically low unemployment numbers, especially for African Americans, Hispanics, Asians and Women.",2018-07-29,21443,88751,1023549416446279680,12:42:52.000000
15416,Twitter for iPhone,July is just the ninth month since 1970 that unemployment has fallen below 4%. Our economy has added 3.7 million jobs since I won the Election. 4.1 GDP. More than 4 million people have received a pay raise due to tax reform. $400 Billion brought back from “overseas.” @FoxNews,2018-08-03,18443,77998,1025504226204680192,22:10:35.000000
15427,Twitter for iPhone,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......",2018-08-04,20071,86527,1025830647649247232,19:47:40.000000
15567,Twitter for iPhone,"Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatness. I have already MADE America Great Again, just look at the markets, jobs, military- setting records, and we will do even better. Andrew “chocked” badly, mistake!",2018-08-17,1177,4250,1030455761913217024,14:06:13.000000
15568,Twitter for iPhone,"Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatness. I have already MADE America Great Again, just look at the markets, jobs, military- setting records, and we will do even better. Andrew “choked” badly, mistake!",2018-08-17,21178,90668,1030456820417081344,14:10:25.000000
15627,Twitter for iPhone,"Longest bull run in the history of the stock market, congratulations America!",2018-08-22,24042,106347,1032358618576900096,20:07:29.000000
15684,Twitter for iPhone,NASDAQ has just gone above 8000 for the first time in history!,2018-08-28,28408,121129,1034379525113753600,09:57:51.000000
15706,Twitter for iPhone,"Consumer Confidence Index, just out, is the HIGHEST IN 18 YEARS! Also, GDP revised upward to 4.2 from 4.1. Our country is doing great!",2018-08-29,20813,80697,1034817106632761344,14:56:38.000000
15721,Twitter for iPhone,"The news from the Financial Markets is even better than anticipated. For all of you that have made a fortune in the markets, or seen your 401k’s rise beyond your wildest expectations, more good news is coming!",2018-08-30,18690,80998,1035125176617365504,11:20:48.000000
15799,Twitter for iPhone,"Cosumer confidence highest in 18 years, Atlanta Fed forecasts 4.7 GDP, manufacturing jobs highest in many years. “It’s the story of the Trump Administration, the Economic Success, that’s unnerving his detractors.” @MariaBartiromo",2018-09-06,19110,76621,1037664539284844544,11:31:19.000000
15827,Twitter for iPhone,"“Trump has set Economic Growth on fire. During his time in office, the economy has achieved feats most experts thought impossible. GDP is growing at a 3 percent-plus rate. The unemployment rate is near a 50 year low.” CNBC...Also, the Stock Market is up almost 50% since Election!",2018-09-09,19063,77923,1038792215617830912,14:12:18.000000
15832,Twitter for iPhone,The GDP Rate (4.2%) is higher than the Unemployment Rate (3.9%) for the first time in over 100 years!,2018-09-10,25215,90857,1039107129880272896,11:03:40.000000
15833,Twitter for iPhone,"If the Democrats had won the Election in 2016, GDP, which was about 1% and going down, would have been minus 4% instead of up 4.2%. I opened up our beautiful economic engine with Regulation and Tax Cuts. Our system was choking and would have been made worse. Still plenty to do!",2018-09-10,15995,65807,1039108838262284288,11:10:27.000000
