,source,text,date,retweet_count,favorite_count,id_str,time
11448,Twitter for Android,"wanting to sell their product, cars, A.C. units etc., back across the border. This tax will make leaving financially difficult, but.....",2016-12-04,9654,40464,805382541343653888,12:05:35.000000
11449,Twitter for Android,"these companies are able to move between all 50 states, with no tax or tariff being charged. Please be forewarned prior to making a very ...",2016-12-04,10315,42184,805386422807105536,12:21:01.000000
11453,Twitter for Android,"Did China ask us if it was OK to devalue their currency (making it hard for our companies to compete), heavily tax our products going into..",2016-12-04,20602,67532,805538149157969920,22:23:55.000000
11454,Twitter for Android,their country (the U.S. doesn't tax them) or to build a massive military complex in the middle of the South China Sea?  I don't think so!,2016-12-04,14475,51993,805539770864693248,22:30:22.000000
11573,Twitter for Android,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,2017-01-03,18864,73104,816260343391514624,12:30:05.000000
11577,Twitter for Android,"........may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",2017-01-03,9525,42800,816300003442495488,15:07:41.000000
11598,Twitter for Android,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",2017-01-05,32121,107842,817071792711942144,18:14:30.000000
11784,Twitter for Android,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",2017-02-03,19308,125846,827482059438432256,11:41:11.000000
11788,Twitter for Android,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,2017-02-04,27046,154637,827715246135574528,03:07:47.000000
11873,Twitter for Android,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,2017-02-16,23643,127764,832191485701451776,11:34:46.000000
11911,Twitter for Android,"Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!",2017-02-25,19846,104027,835481237879926784,13:27:04.000000
11979,Twitter for iPhone,"Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews  FAKE NEWS!",2017-03-15,25824,102694,841966077005463552,10:55:30.000000
11983,Twitter for iPhone,CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!,2017-03-15,14336,80595,841985915778142208,12:14:20.000000
12044,Twitter for iPhone,"If @RepMarkMeadows, @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",2017-03-30,348,1550,847558790358728704,21:18:57.000000
12045,Twitter for iPhone,"If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",2017-03-30,7722,38242,847559239149158400,21:20:44.000000
12115,Twitter for iPhone,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",2017-04-17,19415,61174,853964023846588416,13:31:03.000000
12118,Twitter for iPhone,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes &amp; safety!",2017-04-18,13599,61163,854157191053553664,02:18:38.000000
12121,Twitter for iPhone,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",2017-04-18,14367,56986,854283110191685632,10:38:59.000000
12122,Twitter for iPhone,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.,2017-04-18,16046,62665,854284952539725824,10:46:19.000000
12171,Twitter for iPhone,"Democrats are trying to bail out insurance companies from disastrous #ObamaCare, and Puerto Rico with your tax dollars. Sad!",2017-04-26,15446,53161,857370270776086528,23:06:16.000000
12236,Twitter for iPhone,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",2017-05-08,16471,64797,861713823505494016,22:46:00.000000
12384,Twitter for iPhone,"The Democrats have no message,  not on economics, not on taxes,  not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!",2017-06-11,30589,111616,873884774041079808,12:49:00.000000
12424,Twitter for iPhone,"The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H",2017-06-19,22909,84993,876778344636928000,12:27:01.000000
12426,Twitter for iPhone,"Ralph Norman, who is running for Congress in SC's 5th District, will be a fantastic help to me in cutting taxes, and....",2017-06-19,13012,53526,876899176562524160,20:27:10.000000
12429,Twitter for iPhone,"....because he doesn't live there! He wants to raise taxes &amp; kill healthcare. On Tuesday, #VoteKarenHandel.",2017-06-19,1458,4996,876899886272319488,20:29:59.000000
12431,Twitter for iPhone,"....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel.",2017-06-19,10734,43659,876901304207069184,20:35:37.000000
12434,Twitter for iPhone,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R""",2017-06-20,20698,82229,876964061027684352,00:45:00.000000
12435,Twitter for iPhone,"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district.",2017-06-20,19250,70567,877101173412638720,09:49:50.000000
12436,Twitter for iPhone,"KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY",2017-06-20,21313,82075,877104262463008768,10:02:06.000000
12490,Twitter for iPhone,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!",2017-06-28,13407,54720,880049704620494848,13:06:14.000000
12679,Twitter for iPhone,So many stories about me in the @washingtonpost are Fake News. They are as bad as ratings challenged @CNN. Lobbyist for Amazon and taxes?,2017-07-25,13338,55705,889673743873843200,02:28:44.000000
12680,Twitter for iPhone,Is Fake News Washington Post being used as a lobbyist weapon against Congress to keep Politicians from looking into Amazon no-tax monopoly?,2017-07-25,17448,63048,889675644396867584,02:36:17.000000
12749,Media Studio,I campaigned on creating a merit-based immigration system that protects U.S. workers &amp; taxpayers. Watch: https://t.co/lv3ScSKnF6 #RAISEAct https://t.co/zCFK5OfYnB,2017-08-02,20342,78586,892814520942460928,18:29:04.000000
12761,Twitter for iPhone,"Consumer confidence is at a 16 year high....and for good reason. Much more regulation ""busting"" to come. Working hard on tax cuts &amp; reform!",2017-08-04,14948,75633,893417795614121984,10:26:16.000000
12816,Twitter for iPhone,"Luther Strange of the Great State of Alabama has my endorsement. He is strong on Border &amp; Wall, the military, tax cuts &amp; law enforcement.",2017-08-14,11474,60284,897044700124909568,10:38:17.000000
12828,Twitter for iPhone,"Amazon is doing great damage to tax paying retailers. Towns, cities and states throughout the U.S. are being hurt - many jobs being lost!",2017-08-16,18254,70636,897763049226084352,10:12:45.000000
12925,Twitter for iPhone,"I will also be going to a wonderful state, Missouri, that I won by a lot in '16. Dem C.M. is opposed to big tax cuts. Republican will win S!",2017-08-27,12499,68292,901795255086968832,13:15:18.000000
12937,Twitter for iPhone,Will be leaving for Missouri soon for a speech on tax cuts and tax reform - so badly needed!,2017-08-30,14174,83586,902889225061896192,13:42:20.000000
12968,Twitter for iPhone,Will be going to North Dakota today to discuss tax reform and tax cuts. We are the highest taxed nation in the world - that will change.,2017-09-06,17766,89928,905381817695526912,10:47:01.000000
12975,Twitter for iPhone,"If we want to renew our PROSPERITY, restore OPPORTUNITY, &amp; re-establish our economic DOMINANCE, then we need tax reform that is pro-growth.. https://t.co/9NzLg2Qzpo",2017-09-07,17172,69771,905586115440242688,00:18:49.000000
13005,Twitter for iPhone,China has a business tax rate of 15%. We should do everything possible to match them in order to win with our economy. Jobs and wages!,2017-09-14,17849,76499,908154067658174464,02:22:57.000000
13115,Twitter for iPhone,The White House never looked more beautiful than it did returning last night. Important meetings taking place today. Big tax cuts &amp; reform.,2017-09-25,14142,84347,912281550712135680,11:44:05.000000
13153,Twitter for iPhone,Democrats don't want massive tax cuts - how does that win elections? Great reviews for Tax Cut and Reform Bill.,2017-09-28,17703,78830,913371663789625344,11:55:48.000000
13244,Twitter for iPhone,"Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!",2017-10-10,32459,138388,917694644481413120,10:13:47.000000
13254,Twitter for iPhone,"...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds. #MAGA",2017-10-11,11212,54905,918060313748164608,10:26:50.000000
13255,Twitter for iPhone,It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts,2017-10-11,15430,74375,918061437750267904,10:31:18.000000
